序号,标题,链接,区域,区域分类,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
1,整租·尚峯壹号 7房间 南/北,https://bj.lianjia.com/zufang/BJ1803635582400724992.html,顺义-顺义其它-尚峯壹号,顺义,182.69㎡,南 北,7房间3卫,7000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=2025120112060559d,BJ1803635582400724992,2025/12/8 20:30
2,整租·北影小区 2室1厅 西/北,https://bj.lianjia.com/zufang/BJ1971224933006573568.html,海淀-北太平庄-北影小区,海淀,86.77㎡,西 北,2室1厅1卫,7500,精装,贝壳优选,https://image1.ljcdn.com/lease-image/house/6ecb82c7-9cdd-4932-bd42-429d4a30971c.jpg.250x182.jpg,BJ1971224933006573568,2025/12/8 20:30
3,整租·十里春风 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1811385470660116480.html,通州-通州其它-十里春风,通州,79.45㎡,南 北,2室1厅1卫,800,官方核验,链家,"https://image1.ljcdn.com/110000-inspection/505bb18d-7e7e-4687-8ae3-f43b45e12d59_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1811385470660116480,2025/12/8 20:30
4,整租·东馨园 3室1厅 东/南/北,https://bj.lianjia.com/zufang/BJ1693580346555105280.html,海淀-西北旺-东馨园,海淀,85.00㎡,东 南 北,3室1厅1卫,8200,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1693580346555105280,2025/12/8 20:30
5,整租·华远西红世商业 2房间 北,https://bj.lianjia.com/zufang/BJ1966102779319549952.html,大兴-高米店-华远西红世商业,大兴,50.97㎡,北,2房间1卫,3300,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1966102779319549952,2025/12/8 20:30
6,独栋·荔屋公寓 常营店 短租甩卖！近地铁免费健身房 无中介费 可开发票- 1室1厅,https://bj.lianjia.com/apartment/83359.html,仅剩2间,仅剩2间,30.00㎡,2间在租,1室1厅1卫,3199-4000,精装,荔屋公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,849867,2025/12/8 20:30
7,整租·益田影人四季花园 4室2厅 南/北,https://bj.lianjia.com/zufang/BJ1791050764810977280.html,怀柔-怀柔-益田影人四季花园,怀柔,194.00㎡,南 北,4室2厅2卫,5800,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1791050764810977280,2025/12/8 20:30
8,整租·长滩壹号 5室1厅 复式 南/北,https://bj.lianjia.com/zufang/BJ1686703752196653056.html,昌平-南邵-长滩壹号,昌平,128.13㎡,南 北,5室1厅2卫,8600,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1686703752196653056,2025/12/8 20:30
9,整租·顺驰蓝调 3室2厅 西北,https://bj.lianjia.com/zufang/BJ1966142068036206592.html,丰台-菜户营-顺驰蓝调,丰台,138.33㎡,西北,3室2厅2卫,10815,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1966142068036206592,2025/12/8 20:30
10,整租·V7九间堂 5室2厅 南/北,https://bj.lianjia.com/zufang/BJ1792072466068144128.html,通州-潞苑-V7九间堂,通州,270.60㎡,南 北,5室2厅3卫,12500,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1792072466068144128,2025/12/8 20:30
11,整租·望京新城 2室1厅 南,https://bj.lianjia.com/zufang/BJ1681955468106268672.html,朝阳-望京-望京新城,朝阳,102.87㎡,南,2室1厅1卫,11000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1681955468106268672,2025/12/8 20:30
12,整租·公园懿府 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1966332879260614656.html,丰台-新宫-公园懿府,丰台,100.00㎡,南 北,2室1厅2卫,6800,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1966332879260614656,2025/12/8 20:30
13,整租·西坝河西里 2室1厅 南,https://bj.lianjia.com/zufang/BJ1682697918986846208.html,朝阳-西坝河-西坝河西里,朝阳,61.00㎡,南,2室1厅1卫,5800,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1682697918986846208,2025/12/8 20:30
14,整租·三山新新家园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1666291017269116928.html,顺义-后沙峪-三山新新家园,顺义,95.00㎡,南 北,2室1厅1卫,6200,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1666291017269116928,2025/12/8 20:30
15,整租·北辰福第中区 2室1厅 南,https://bj.lianjia.com/zufang/BJ1966355721033351168.html,朝阳-常营-北辰福第中区,朝阳,83.44㎡,南,2室1厅1卫,5100,,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1966355721033351168,2025/12/8 20:30
16,独栋·荔屋公寓 常营店 小套间 全屋宜家 可换大床 免费健身房 无中介费- 1室1厅,https://bj.lianjia.com/apartment/83359.html,仅剩2间,仅剩2间,28.00㎡,2间在租,1室1厅1卫,3700-3900,精装,荔屋公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,854593,2025/12/8 20:30
17,整租·鸿华家园 5室2厅 东/南/北,https://bj.lianjia.com/zufang/BJ1662673439313362944.html,朝阳-亚运村小营-鸿华家园,朝阳,515.78㎡,东 南 北,5室2厅5卫,75000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1662673439313362944,2025/12/8 20:30
18,整租·北京银泰中心 2室1厅 东/北,https://bj.lianjia.com/zufang/BJ1663398640141467648.html,朝阳-CBD-北京银泰中心,朝阳,321.73㎡,东 北,2室1厅2卫,90000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1663398640141467648,2025/12/8 20:30
19,整租·燕保百安家园二号院 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1966391918065614848.html,朝阳-百子湾-燕保百安家园二号院,朝阳,91.00㎡,南 北,3室1厅1卫,7000,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1966391918065614848,2025/12/8 20:30
20,整租·京基鹭府 6室4厅 南/北,https://bj.lianjia.com/zufang/BJ1695006347533221888.html,昌平-北七家-京基鹭府,昌平,521.05㎡,南 北,6室4厅6卫,40000,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1695006347533221888,2025/12/8 20:30
21,整租·恒大未来城 2室1厅 南/西北,https://bj.lianjia.com/zufang/BJ1772114380138217472.html,大兴-义和庄-恒大未来城,大兴,89.00㎡,南 西北,2室1厅1卫,4700,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1772114380138217472,2025/12/8 20:30
22,整租·金港国际 1室1厅 西,https://bj.lianjia.com/zufang/BJ1967209060272963584.html,朝阳-大望路-金港国际,朝阳,66.00㎡,西,1室1厅1卫,6200,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1967209060272963584,2025/12/8 20:30
23,整租·柳芳南里 1室1厅 南,https://bj.lianjia.com/zufang/BJ1774015260341043200.html,朝阳-国展-柳芳南里,朝阳,45.00㎡,南,1室1厅1卫,7000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1774015260341043200,2025/12/8 20:30
24,整租·中信新城西区 5室2厅 南/北,https://bj.lianjia.com/zufang/BJ1742104629941895168.html,北京经济技术开发区-亦庄河西区-中信新城西区,北京经济技术开发区,231.07㎡,南 北,5室2厅3卫,23000,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1742104629941895168,2025/12/8 20:30
25,整租·双榆树北里 1室1厅 南,https://bj.lianjia.com/zufang/BJ1966398781888921600.html,海淀-双榆树-双榆树北里,海淀,43.56㎡,南,1室1厅1卫,6700,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1966398781888921600,2025/12/8 20:30
26,整租·建外soho西区 2室1厅 南/西,https://bj.lianjia.com/zufang/BJ1743867384185225216.html,朝阳-CBD-建外soho西区,朝阳,165.31㎡,南 西,2室1厅2卫,35000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1743867384185225216,2025/12/8 20:30
27,"独栋·安家和美 大屯路东地铁站店 无中介，整租好房，独卫浴，可做饭,当天看，当天住 1室1厅",https://bj.lianjia.com/apartment/73166.html,仅剩1间,仅剩1间,30.00㎡,1间在租,1室1厅1卫,3800,精装,安家和美,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,852364,2025/12/8 20:30
28,整租·龙腾苑六区 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1966143742809210880.html,昌平-回龙观-龙腾苑六区,昌平,98.78㎡,南 北,2室1厅1卫,5800,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1966143742809210880,2025/12/8 20:30
29,整租·西总布胡同55号院 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1741779167793381376.html,东城-建国门内-西总布胡同55号院,东城,55.10㎡,南 北,2室1厅1卫,18000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1741779167793381376,2025/12/8 20:30
30,独栋·安家和美 大屯路东地铁站店 无中介，整租好房，独卫浴，可做饭当天看，当天住 1室1厅,https://bj.lianjia.com/apartment/73166.html,仅剩1间,仅剩1间,25.00㎡,1间在租,1室1厅1卫,3400,精装,安家和美,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,852373,2025/12/8 20:30
31,整租·和平里五区 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1781681204907474944.html,东城-和平里-和平里五区,东城,92.68㎡,南 北,3室1厅1卫,8850,官方核验,链家,"https://image1.ljcdn.com/110000-inspection/pc1_ZNPlmQMZ5.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1781681204907474944,2025/12/8 20:31
32,整租·花家地南里 2室1厅 南,https://bj.lianjia.com/zufang/BJ1971168472582848512.html,朝阳-望京-花家地南里,朝阳,60.00㎡,南,2室1厅1卫,5600,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/prod-fae1b306-fbea-4593-9c37-e54144768e70.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1971168472582848512,2025/12/8 20:31
33,整租·领秀慧谷D区 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1781244729459998720.html,昌平-回龙观-领秀慧谷D区,昌平,89.00㎡,南 北,2室1厅2卫,6700,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/dc8213f0-f864-4b8b-93f7-555711d19551_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1781244729459998720,2025/12/8 20:31
34,整租·融科橄榄城一期 4室2厅 复式 南/北,https://bj.lianjia.com/zufang/BJ1780856735745966080.html,朝阳-望京-融科橄榄城一期,朝阳,233.92㎡,南 北,4室2厅2卫,21000,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/3f89acb8-79d1-4ebb-9524-3c7055dfd0cd_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1780856735745966080,2025/12/8 20:31
35,整租·模式口东里 2室1厅 东/南,https://bj.lianjia.com/zufang/BJ1966365417333063680.html,石景山-苹果园-模式口东里,石景山,63.23㎡,东 南,2室1厅1卫,3500,,贝壳优选,"https://image1.ljcdn.com/110000-inspection/pc0_Ehhe2FigX.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1966365417333063680,2025/12/8 20:31
36,独栋·36号公寓 天通苑东三区2号楼公寓 17号线天通苑东地铁站 精装公寓 采光房 1室1厅,https://bj.lianjia.com/apartment/77676.html,仅剩1间,仅剩1间,30.00㎡,1间在租,1室1厅1卫,3200,精装,36号公寓,https://image1.ljcdn.com/wanjia/a7534dea82f2a11a27d0f36f4ff4046c-1762744829992/265d5630d869c69a89ed1dc60e5e2082.jpg.250x182.jpg,857358,2025/12/8 20:31
37,整租·富力城A区 2室1厅 南,https://bj.lianjia.com/zufang/BJ1777549841895784448.html,朝阳-双井-富力城A区,朝阳,99.32㎡,南,2室1厅2卫,13000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1777549841895784448,2025/12/8 20:31
