序号,城市,区域,详细区域,区域分类,标题,链接,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
1,广州,天河,天河-广氮-盛年华寓,天河,整租·盛年华寓 1室1厅 北,https://gz.lianjia.com/zufang/GZ2108415307121950720.html,28.00㎡,北,1室1厅1卫,2100,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_axGvgE9Nh.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",GZ2108415307121950720,2025/12/10 10:58
2,广州,天河,天河-珠江新城西-南天广场,天河,合租·南天广场 4居室 南卧,https://gz.lianjia.com/zufang/GZ2075623537678221312.html,14.81㎡,南,4室1厅2卫,2341,精装,自如,https://image1.ljcdn.com/rent-house-1/img/1ff58ee12e3732eec43fc5f28f449156-1757325345552/10be6d8ea667175c68ec48f48c4ed25d.jpg.250x182.jpg,GZ2075623537678221312,2025/12/10 10:58
3,广州,天河,天河-天润路-润寿小区,天河,整租·润寿小区 1室1厅 西南,https://gz.lianjia.com/zufang/GZ2103816458617225216.html,45.00㎡,西南,1室1厅1卫,3200,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_sKYwzY8Z1_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",GZ2103816458617225216,2025/12/10 10:58
4,广州,天河,天河-华景新城-华景新城荷景园,天河,合租·华景新城荷景园 4居室 西卧,https://gz.lianjia.com/zufang/GZ2078804864489488384.html,11.90㎡,西,4室1厅2卫,1638,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2078804864489488384,2025/12/10 10:58
5,广州,天河,天河-粤垦-瑞心苑,天河,整租·瑞心苑 1室1厅 西,https://gz.lianjia.com/zufang/GZ2097662781615505408.html,25.00㎡,西,1室1厅1卫,1250,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2097662781615505408,2025/12/10 10:58
6,广州,天河,天河-龙口西-天成大厦,天河,合租·天成大厦 4居室 北卧,https://gz.lianjia.com/zufang/GZ2062294042707755008.html,9.50㎡,北,4室1厅2卫,2236,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2062294042707755008,2025/12/10 10:58
7,广州,天河,天河-黄村-中海康城,天河,整租·中海康城 1室0厅 南,https://gz.lianjia.com/zufang/GZ2108878158081032192.html,26.00㎡,南,1室0厅0卫,1600,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2108878158081032192,2025/12/10 10:58
8,广州,天河,天河-体育中心-华苑大厦,天河,合租·华苑大厦 4居室 北卧,https://gz.lianjia.com/zufang/GZ2089708890764607488.html,18.10㎡,北,4室1厅1卫,2131,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2089708890764607488,2025/12/10 10:58
9,广州,天河,天河-东圃-天河广场,天河,整租·天河广场 3室1厅 南,https://gz.lianjia.com/zufang/GZ2077722821911379968.html,78.00㎡,南,3室1厅1卫,3900,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2077722821911379968,2025/12/10 10:58
10,广州,天河,天河-体育中心-华苑大厦,天河,合租·华苑大厦 4居室 北卧,https://gz.lianjia.com/zufang/GZ2080333717863137280.html,18.50㎡,北,4室1厅1卫,2058,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2080333717863137280,2025/12/10 10:58
