序号,城市,区域,详细区域,区域分类,标题,链接,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
1,杭州,西湖区,西湖区-文三西路-沁雅花园,西湖区,整租·沁雅花园 3室2厅 错层 东南/南,https://hz.lianjia.com/zufang/HZ2092204686584053760.html,137.77㎡,东南 南,3室2厅2卫,4800,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/96bb33b1-823e-4112-a6a0-b46b665d8a6e_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2092204686584053760,2025/12/9 22:07
2,杭州,西湖区,西湖区-文一西路-新金都城市花园,西湖区,整租·新金都城市花园 3室2厅 南,https://hz.lianjia.com/zufang/HZ2108773243937619968.html,100.00㎡,南,3室2厅1卫,4100,,链家,"https://image1.ljcdn.com/110000-inspection/pc1_EG8CGAo0m.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2108773243937619968,2025/12/9 22:07
3,杭州,西湖区,西湖区-转塘-钱塘ONE,西湖区,整租·钱塘ONE 2室2厅 东南,https://hz.lianjia.com/zufang/HZ1901319634515132416.html,39.41㎡,东南,2室2厅2卫,2700,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/pc0_LwkeIwEwM.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1901319634515132416,2025/12/9 22:07
4,杭州,西湖区,仅剩4间,仅剩4间,独栋·泊寓 云栖小镇店 【民水民电】精装修公寓/家电齐全拎包入住押一付一-B 开间,https://hz.lianjia.com/apartment/80616.html,40.00㎡,4间在租,1室0厅1卫,2225-2365,精装,泊寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,675600,2025/12/9 22:07
5,杭州,西湖区,西湖区-申花-爱尚里,西湖区,整租·爱尚里 2室1厅 南,https://hz.lianjia.com/zufang/HZ2095871401524199424.html,54.74㎡,南,2室1厅1卫,2500,,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2095871401524199424,2025/12/9 22:07
6,杭州,西湖区,仅剩2间,仅剩2间,独栋·泊寓 云栖小镇店 【24h安保】可养宠物 可做饭近飞天园区 押一付一 开间,https://hz.lianjia.com/apartment/80616.html,43.00㎡,2间在租,1室0厅1卫,2455-2500,精装,泊寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,688401,2025/12/9 22:07
7,杭州,西湖区,西湖区-三墩-桔子里,西湖区,整租·桔子里 1室1厅 南,https://hz.lianjia.com/zufang/HZ1955875992698355712.html,42.51㎡,南,1室1厅1卫,2000,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1955875992698355712,2025/12/9 22:07
8,杭州,西湖区,西湖区-黄龙-王家弄,西湖区,整租·王家弄 3室1厅 东/西,https://hz.lianjia.com/zufang/HZ2108424747485233152.html,76.78㎡,东 西,3室1厅1卫,5000,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2108424747485233152,2025/12/9 22:07
9,杭州,西湖区,西湖区-转塘-钱江之江新天地,西湖区,整租·钱江之江新天地 1室1厅 南,https://hz.lianjia.com/zufang/HZ2066185252199464960.html,31.78㎡,南,1室1厅1卫,1800,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2066185252199464960,2025/12/9 22:07
10,杭州,西湖区,仅剩1间,仅剩1间,独栋·喜乐公寓 紫金生活广场店 【限时特价】朝北一室户 包网包物业无中介费可月付 1室1厅,https://hz.lianjia.com/apartment/82484.html,26.00㎡,1间在租,1室1厅1卫,1600,精装,喜乐公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,699361,2025/12/9 22:07
