序号,城市,区域,详细区域,区域分类,标题,链接,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
1,深圳,罗湖区,罗湖区-地王-CK尚御,罗湖区,整租·CK尚御 1室1厅 东南,https://sz.lianjia.com/zufang/SZ2107396532079689728.html,37.24㎡,东南,1室1厅1卫,3800,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/pc0_VqYhzFBUv.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",SZ2107396532079689728,2025/12/9 11:14
2,深圳,罗湖区,罗湖区-螺岭-东门168,罗湖区,整租·东门168 1室1厅 西北,https://sz.lianjia.com/zufang/SZ1946578984904949760.html,23.64㎡,西北,1室1厅1卫,2300,精装,贝壳优选,https://image1.ljcdn.com/lease-image/house/3b2aa7b0a7371da802b37927b45ca7bb.jpeg.250x182.jpg,SZ1946578984904949760,2025/12/9 11:14
3,深圳,罗湖区,仅剩1间,仅剩1间,独栋·7号时尚公寓 B店 【隔音好】罗湖莲塘口岸！押一付一！猫咪友好南向不潮湿 1室1厅,https://sz.lianjia.com/apartment/43681.html,28.00㎡,1间在租,1室1厅1卫,2420,精装,7号时尚公寓,https://image1.ljcdn.com/wanjia/2725a8db056b14367597eee23ad1662e-1761202085697/dcbd91ee41baa4ad38c55b01454f9ec4.jpg.250x182.jpg,849365,2025/12/9 11:14
4,深圳,罗湖区,罗湖区-百仕达-旭飞华达园,罗湖区,整租·旭飞华达园 2室1厅 东南,https://sz.lianjia.com/zufang/SZ1984943293615570944.html,41.00㎡,东南,2室1厅1卫,4100,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1984943293615570944,2025/12/9 11:14
5,深圳,罗湖区,仅剩2间,仅剩2间,独栋·7号时尚公寓 B店 【深港通勤】莲塘地铁站300M！免中介费！宽敞明亮配套齐全 1室1厅,https://sz.lianjia.com/apartment/43681.html,28.00㎡,2间在租,1室1厅1卫,2420,精装,7号时尚公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,849333,2025/12/9 11:14
6,深圳,罗湖区,罗湖区-布心-彩世界家园,罗湖区,整租·彩世界家园 3室2厅 西,https://sz.lianjia.com/zufang/SZ2107518340116250624.html,89.00㎡,西,3室2厅1卫,5500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2107518340116250624,2025/12/9 11:14
7,深圳,罗湖区,罗湖区-翠竹-金丽豪苑,罗湖区,整租·金丽豪苑 1室1厅 北,https://sz.lianjia.com/zufang/SZ2105522043742060544.html,42.33㎡,北,1室1厅1卫,3420,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2105522043742060544,2025/12/9 11:14
8,深圳,罗湖区,仅剩2间,仅剩2间,独栋·7号时尚公寓 B店 【仙湖地铁站200米】安逸小两房！独户隐私！超级特惠！ 2室1厅,https://sz.lianjia.com/apartment/43681.html,45.00㎡,2间在租,2室1厅1卫,3450,精装,7号时尚公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,862417,2025/12/9 11:14
9,深圳,罗湖区,罗湖区-莲塘-鹏兴花园五期,罗湖区,整租·鹏兴花园五期 3室1厅 复式 北,https://sz.lianjia.com/zufang/SZ1950160605675520000.html,73.25㎡,北,3室1厅2卫,4350,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1950160605675520000,2025/12/9 11:14
10,深圳,罗湖区,仅剩2间,仅剩2间,独栋·7号时尚公寓 B店 【仙湖地铁站200米】南北通透！独户隐私！采光无敌！ 2室1厅,https://sz.lianjia.com/apartment/43681.html,45.00㎡,2间在租,2室1厅1卫,3450,精装,7号时尚公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,862421,2025/12/9 11:14
11,深圳,罗湖区,罗湖区-春风路-高嘉花园,罗湖区,整租·高嘉花园 2室2厅 西,https://sz.lianjia.com/zufang/SZ2108132446074568704.html,55.00㎡,西,2室2厅1卫,4500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2108132446074568704,2025/12/9 11:14
12,深圳,罗湖区,罗湖区-螺岭-华润置地未来城,罗湖区,整租·华润置地未来城 1室0厅 南,https://sz.lianjia.com/zufang/SZ2108159279411232768.html,36.00㎡,南,1室0厅1卫,4700,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2108159279411232768,2025/12/9 11:14
13,深圳,罗湖区,仅剩1间,仅剩1间,独栋·7号时尚公寓 B店 【莲塘站300M】原木温馨风格！玻璃隔断喵星人友好 1室1厅,https://sz.lianjia.com/apartment/43681.html,28.00㎡,1间在租,1室1厅1卫,2420,精装,7号时尚公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,849372,2025/12/9 11:14
14,深圳,罗湖区,罗湖区-莲塘-京基云熙阁,罗湖区,整租·京基云熙阁 3室2厅 南/东北,https://sz.lianjia.com/zufang/SZ2091471912449343488.html,88.18㎡,南 东北,3室2厅2卫,6300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2091471912449343488,2025/12/9 11:14
15,深圳,罗湖区,仅剩4间,仅剩4间,独栋·八号季公寓 洪湖店 【水贝旁】近水贝珠宝城小复式！6个月起租！付费车位！ 1室1厅,https://sz.lianjia.com/apartment/18205.html,40.00㎡,4间在租,1室1厅1卫,2480-3500,精装,八号季公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387117,2025/12/9 11:14
16,深圳,罗湖区,罗湖区-笋岗-嘉宝田花园,罗湖区,整租·嘉宝田花园 2室2厅 东南,https://sz.lianjia.com/zufang/SZ2108510188636995584.html,63.00㎡,东南,2室2厅1卫,6500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2108510188636995584,2025/12/9 11:14
17,深圳,罗湖区,20.00-30.00㎡,20,独栋·八号季公寓 洪湖店 【押一付一】东门步行街附近公寓单间！！房东直租！无中介费 开间,https://sz.lianjia.com/apartment/18205.html,9间在租,1室0厅1卫,,1800-3180,精装,八号季公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,262376,2025/12/9 11:14
18,深圳,罗湖区,罗湖区-东门-嘉年华名苑,罗湖区,整租·嘉年华名苑 3室1厅 东/东南,https://sz.lianjia.com/zufang/SZ2084295428097966080.html,80.00㎡,东 东南,3室1厅1卫,7000,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2084295428097966080,2025/12/9 11:14
19,深圳,罗湖区,仅剩1间,仅剩1间,独栋·7号时尚公寓 B店 【罗湖莲塘地铁300M】可以养猫！配套健身房！周边旺盛烟火气 1室1厅,https://sz.lianjia.com/apartment/43681.html,28.00㎡,1间在租,1室1厅1卫,2420,精装,7号时尚公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,849370,2025/12/9 11:14
20,深圳,罗湖区,罗湖区-莲塘-聚福花园二期,罗湖区,整租·聚福花园二期 3室2厅 南,https://sz.lianjia.com/zufang/SZ2007439388417458176.html,90.64㎡,南,3室2厅1卫,5700,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2007439388417458176,2025/12/9 11:14
21,深圳,罗湖区,仅剩2间,仅剩2间,独栋·7号时尚公寓 B店 【深港通勤】仙湖地铁300M！朝南阳光好不潮湿 1室1厅,https://sz.lianjia.com/apartment/43681.html,28.00㎡,2间在租,1室1厅1卫,2420,精装,7号时尚公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,849335,2025/12/9 11:14
